,Job_ID,Role,Seniority,Emp_Type,Job function,Industries,Job_Des,Link
0,4171828646,Data Scientist,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services,"KPMG in India, a professional services firm, is the Indian member firm affiliated with KPMG International and was established in September 1993. Our professionals leverage the global network of firms, providing detailed knowledge of local laws, regulations, markets, and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, and Vadodara.KPMG in India offers services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focussed, and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment.KPMG Advisory professionals provide advice and assistance to enable companies, intermediaries, and public sector bodies to mitigate risk, improve performance, and create value. KPMG firms provide a wide range of Risk Advisory and Financial Advisory Services that can help clients respond to immediate needs as well as put in place the strategies for the longer term.Job Title: Consultant/Senior ConsultantSkills: Data Science+ Gen AILocation: Pune/Mumbai/Noida/Gurgaon/BangaloreResponsibilities• Work with business stakeholders and cross-functional SMEs to deeply understand business context and key business questions  • Create Proof of concepts (POCs) / Minimum Viable Products (MVPs), then guide them through to production deployment and operationalization of projects  • Influence machine learning strategy for Digital programs and projects • Make solution recommendations that appropriately balance speed to market and analytical soundness • Explore design options to assess efficiency and impact, develop approaches to improve robustness and rigor  • Develop analytical / modelling solutions using a variety of commercial and open-source tools (e.g., Python, R, TensorFlow) • Formulate model-based solutions by combining machine learning algorithms with other techniques such as simulations. • Design, adapt, and visualize solutions based on evolving requirements and communicate them through presentations, scenarios, and stories. • Create algorithms to extract information from large, multiparametric data sets. • Deploy algorithms to production to identify actionable insights from large databases. • Compare results from various methodologies and recommend optimal techniques.  • Design, adapt, and visualize solutions based on evolving requirements and communicate them through presentations, scenarios, and stories. • Develop and embed automated processes for predictive model validation, deployment, and implementation  • Work on multiple pillars of AI including cognitive engineering, conversational bots, and data science • Ensure that solutions exhibit high levels of performance, security, scalability, maintainability, repeatability, appropriate reusability, and reliability upon deployment  • Lead discussions at peer review and use interpersonal skills to positively influence decision making • Provide thought leadership and subject matter expertise in machine learning techniques, tools, and concepts; make impactful contributions to internal discussions on emerging practices • Facilitate cross-geography sharing of new ideas, learnings, and best-practicesEducation Qualification and Experience• Bachelor of Science or Bachelor of Engineering at a minimum. • 4+ years of work experience as a Data Scientist • A combination of business focus, strong analytical and problem-solving skills, and programming knowledge to be able to quickly cycle hypothesis through the discovery phase of a project • Advanced skills with statistical/programming software (e.g., R, Python) and data querying languages (e.g., SQL, Hadoop/Hive, Scala) • Good hands-on skills in both feature engineering and hyperparameter optimization • Experience producing high-quality code, tests, documentation • Experience with Microsoft Azure or AWS data management tools such as Azure Data factory, data lake, Azure ML, Synapse, Databricks • Understanding of descriptive and exploratory statistics, predictive modelling, evaluation metrics, decision trees, machine learning algorithms, optimization & forecasting techniques, and / or deep learning methodologies • Proficiency in statistical concepts and ML algorithms • Good knowledge of Agile principles and process  • Ability to lead, manage, build, and deliver customer business results through data scientists or professional services team • Ability to share ideas in a compelling manner, to clearly summarize and communicate data analysis assumptions and results • Self-motivated and a proactive problem solver who can work independently and in teamsEqual employment opportunity information KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their colour, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability, or other legally protected status. KPMG India values diversity and we request you to submit the details below to support us in our endeavour for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you.",https://www.linkedin.com/jobs/view/4171828646/
1,4176122835,Python Developer,Mid-Senior level,Full-time,Information Technology,Business Consulting and Services,"KPMG in India, a professional services firm, is the Indian member firm affiliated with KPMG International and was established in September 1993. Our professionals leverage the global network of firms, providing detailed knowledge of local laws, regulations, markets, and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, and Vadodara.KPMG in India offers services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focussed, and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment. KPMG Advisory professionals provide advice and assistance to enable companies, intermediaries, and public sector bodies to mitigate risk, improve performance, and create value. KPMG firms provide a wide range of Risk Advisory and Financial Advisory Services that can help clients respond to immediate needs as well as put in place the strategies for the longer term.Job Title: Data AnalystSkills: Python + Pyspark + SQLLocation: Bengaluru, Kolkata & Gurugram Responsibilities • To build and optimize data pipelines using Python and PySpark, you'll design scalable pipelines, implement transformations, and optimize workflows. You'll monitor and troubleshoot pipelines, collaborate on ML integration, follow best practices, and document processes for future reference.• To perform data analysis and generate reports, you'll gather and clean data, conduct exploratory data analysis (EDA), and use statistical methods and visualization tools to interpret and present findings.• Create interactive reports and dashboards, collaborate with analysts and domain experts, address data quality issues, and support ad-hoc analysis requests, all while staying updated on data analysis techniques.• To write and maintain SQL queries for data extraction, you'll understand data requirements, develop optimized SQL queries, and ensure efficiency and accuracy.• You'll regularly review and update queries, perform thorough testing and validation, and resolve any discrepancies.• Collaboration with analysts and developers is essential to meet data needs, while maintaining clear documentation. Staying updated with the latest SQL techniques and best practices is crucial for continuous improvement. Education Qualification and Experience• 4-8 years of hands-on experience in Python, PySpark, and SQL, data analysis and pipeline development.• Proven track record of analyzing large datasets to extract valuable insights and trends.• Expertise in designing, developing, and maintaining efficient data pipelines capable of processing significant data volumes.• Experience in data preprocessing, transformation, and integration for analysis and machine learning models.• Proficiency in using data visualization tools to present findings effectively to stakeholders.• Strong analytical and problem-solving abilities, with a history of diagnosing and resolving issues in data pipelines.• Strong understanding of data structures, algorithms, and software engineering principles.• Excellent communication and teamwork skills.• Bachelor's or Master's degree in Computer Science, Engineering, or a related field. Equal employment opportunity information KPMG India has a policy of providing equal opportunity for all applicants and employees regardless of their colour, caste, religion, age, sex/gender, national origin, citizenship, sexual orientation, gender identity or expression, disability, or other legally protected status.KPMG India values diversity and we request you to submit the details below to support us in our endeavour for diversity. Providing the below information is voluntary and refusal to submit such information will not be prejudicial to you.",https://www.linkedin.com/jobs/view/4176122835/
2,4185223465,AI/ML,Entry level,Full-time,Other,IT Services and IT Consulting,"Data collection, profiling, EDA & data preparationAI Model development, tuning & validationVisualization tools (e.g., PowerBI, tableau)Present findings to business users & project management teamsPropose ML based solution approaches and estimates for new use casesContribute to AI based modules in Infosys solutions developmentExplore new advances in AI continuously and execute PoCsMentoring: guide other team membersML algorithmsAI domains: NLP, speech, computer visionSupervised, Unsupervised, Reinforcement learningTools for data analysis, auto ML, model deployment and scalingKnowledge of datasetsProgramming: PythonDatabasesKnowledge of cloud platforms:Azure/AWS/GCP.",https://www.linkedin.com/jobs/view/4185223465/
3,4183483050,Data Scientist,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"We are Lenovo. We do what we say. We own what we do. We WOW our customers.Lenovo is a US$57 billion revenue global technology powerhouse, ranked #248 in the Fortune Global 500, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a full-stack portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, tablets), infrastructure (server, storage, edge, high performance computing and software defined infrastructure), software, solutions, and services. Lenovo’s continued investment in world-changing innovation is building a more equitable, trustworthy, and smarter future for everyone, everywhere. Lenovo is listed on the Hong Kong stock exchange under Lenovo Group Limited (HKSE: 992) (ADR: LNVGY).This transformation together with Lenovo’s world-changing innovation is building a more inclusive, trustworthy, and smarter future for everyone, everywhere. To find out more visit www.lenovo.com, and read about the latest news via our StoryHub.We are seeking an innovative and detail-oriented Data Scientist to design, develop, and implement artificial intelligence solutions. You will work closely with data scientists, software engineers, and business stakeholders to build intelligent systems that solve complex problems and enhance decision-making processes.ResponsibilitiesData Collection Processing: Gather and preprocess structured and unstructured data from various sources (databases, APIs, logs). Ensure data integrity, quality, and consistency through cleansing and validation techniques.Data Analysis Modeling Perform exploratory data analysis (EDA) to uncover patterns, trends, and correlations. Build, train, and evaluate machine learning models (classification, regression, clustering, etc.). Apply statistical methods (A/B testing, hypothesis testing) for data-driven decision-making.Model Deployment Maintenance Implement and deploy models into production environments (cloud/on-premise). Monitor model performance and retrain as needed to maintain accuracy and efficiency.Visualization Reporting Create intuitive dashboards and reports using visualization tools (Tableau, Power BI, Matplotlib). Present insights and model outcomes to technical and non-technical stakeholders.Research Innovation Stay updated with advancements in data science, machine learning, and AI.Position Requirements Strong ability to understand the business and good stakeholder management capabilities and has mentored data scientists in developing ML solutions. Deep knowledge of the foundations of machine learning and statistics and has made significant original contributions to the area both in research and practice. Solid experience working with state-of-the-art supervised and unsupervised machine learning algorithms on real-world problems, forecasting using traditional and data science techniques, Text Analytics to uncover patterns within unstructured data sets Strong Python coding skills and able to work with at least one other programming language such as Spark/Scala. Ability to work in a big data ecosystem - expert in SQL Collaborating with IT and other internal groups to address data quality, master data management, data governance and metadata management goals and issues. Expertise on BI tools like Power BI and Tableau Experience with Machine Learning and AIQualifications Master’s degree in Operations Research, Applied Mathematics, Statistics, Computer Science, or related fields OR Bachelor’s degree in Engineering, IT, Mathematics, Sciences or other technical discipline with advanced certifications in Data Science Minimum 5 years of professional experience with Data Science Applications Demonstrated experience applying data science methods to real-world data problems Project management and time management skills – experience with end-to-end project management processes Ability to provide insight from multiple raw and refined data sourcesWe are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, religion, sexual orientation, gender identity, national origin, status as a veteran, and basis of disability or any federal, state, or local protected class.",https://www.linkedin.com/jobs/view/4183483050/
4,4183485358,Python ML Developer,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting,"Primary skills:Technology->Machine Learning->PythonA day in the life of an Infoscion As part of the Infosys consulting team, your primary role would be to actively aid the consulting team in different phases of the project including problem definition, effort estimation, diagnosis, solution generation and design and deployment You will explore the alternatives to the recommended solutions based on research that includes literature surveys, information available in public domains, vendor evaluation information, etc. and build POCs You will create requirement specifications from the business needs, define the to-be-processes and detailed functional designs based on requirements. You will support configuring solution requirements on the products; understand if any issues, diagnose the root-cause of such issues, seek clarifications, and then identify and shortlist solution alternatives You will also contribute to unit-level and organizational initiatives with an objective of providing high quality value adding solutions to customers. If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Ability to work with clients to identify business challenges and contribute to client deliverables by refining, analyzing, and structuring relevant data Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate Ability to assess the current processes, identify improvement areas and suggest the technology solutions One or two industry domain knowledge",https://www.linkedin.com/jobs/view/4183485358/
5,4169917026,Data Analyst,Associate,Full-time,"Analyst, Consulting, and Information Technology",Software Development and IT Services and IT Consulting,"KPMG India is expanding its Government & Public Sector Advisory team and is looking for top talent in Data Analytics.   📍 Location: #Delhi NCR Company: KPMG India – Government Advisory Practice-Immediate Joiners only.  We are hiring for the following roles: Business/Data Analyst – Logistics Responsibilities:Conduct a thorough analysis of mail logistics operations to pinpoint optimization opportunities.Design data use cases that support predictive routing, forecast mail volumes and monitor operational performance.Evaluate parcel logistics workflows to identify improvements in efficiency and precision.Develop data use cases aimed at providing real-time tracking, optimizing capacity utilization and analyzing customer satisfaction.Work in partnership with IT and logistics teams to ensure that analytics solutions are well-integrated into the IT 2.0 initiative.Qualifications:A bachelor's degree in Engineering, Business, Analytics, or a closely related field.3+ years of demonstrated experience data analytics- proficient in extracting and manipulating data, strong analytical skills and simple data visualization.A solid grasp of the processes involved in mail operations and the technologies used in this area.Familiarity with the principles of supply chain management and the use of analytics tools.Business Analyst – BFSI Responsibilities:Review banking services to find areas where data-driven enhancements can be made.Establish data use cases focused on risk evaluation, detailed transaction analysis and customization of services.Analyze insurance processes to extract insights useful for product development and managing risk.Create data use cases for efficient claims processing, detecting fraud and segmenting customers.Facilitate the smooth integration of analytics within the banking systems as part of IT 2.0.Qualifications:A bachelor's degree in Engineering, Business, Finance, Economics, or a similar field with a focus on analytics.3+ years of demonstrated experience data analytics- proficient in extracting and manipulating data, strong analytical skills and simple data visualization.Understanding of BFSI-related analyticsBusiness Analyst – CCP & CRM Responsibilities:Examine the delivery of services to citizens to find areas where analytics can enhance service provision.Inspect accounting and CRM processes to identify ways to improve efficiency and customer satisfaction.Construct data use cases that support financial forecasting, analysis of customer lifecycle and prediction of customer attrition.Formulate data use cases for predicting service demand, improving service accessibility and analyzing customer feedback.Work with stakeholders to weave citizen-centric analytics into the IT 2.0 project.Qualifications:A bachelor's degree in Engineering, Public Administration, Social Sciences, or a related field with an element of analytics.3+ years of demonstrated experience data analytics- proficient in extracting and manipulating data, strong analytical skills and simple data visualization.A comprehensive understanding of how to engage citizens and deliver services effectively.",https://www.linkedin.com/jobs/view/4169917026/
6,4174328446,Data scientist- Python- AI/ML GEN AI- Across india,Mid-Senior level,Full-time,Design,Engineering Services,"• Develop strategies/solutions to solve problems in logical yet creative ways, leveraging state-of-the-art machine learning, deep learning and GEN AI techniques.• Technically lead a team of data scientists to produce project deliverables on time and with high quality.• Identify and address client needs in different domains, by analyzing large and complex data sets, processing, cleansing, and verifying the integrity of data, and performing exploratory data analysis (EDA) using state-of-the-art methods.• Select features, build and optimize classifiers/regressors, etc. using machine learning and deep learning techniques.• Enhance data collection procedures to include information that is relevant for building analytical systems, and ensure data quality and accuracy.• Perform ad-hoc analysis and present results in a clear manner to both technical and non-technical stakeholders.• Create custom reports and presentations with strong data visualization and storytelling skills to effectively communicate analytical conclusions to senior officials in a company and other stakeholders.• Expertise in data mining, EDA, feature selection, model building, and optimization using machine learning and deep learning techniques.• Strong programming skills in Python.• Excellent communication and interpersonal skills, with the ability to present complex analytical concepts to both technical and non-technical stakeholders.Primary Skills :- Excellent understanding and hand-on experience of data-science and machine learning techniques & algorithms for supervised & unsupervised problems, NLP and computer vision and GEN AI. Good applied statistics skills, such as distributions, statistical inference & testing, etc.- Excellent understanding and hand-on experience on building Deep-learning models for text & image analytics (such as ANNs, CNNs, LSTM, Transfer Learning, Encoder and decoder, etc).- Proficient in coding in common data science language & tools such as R, Python.- Experience with common data science toolkits, such as NumPy, Pandas, Matplotlib, StatsModel, Scikitlearn, SciPy, NLTK, Spacy, OpenCV etc.- Experience with common data science frameworks such as Tensorflow, Keras, PyTorch, XGBoost,etc.- Exposure or knowledge in cloud (Azure/AWS).- Experience on deployment of model in production.",https://www.linkedin.com/jobs/view/4174328446/
7,4170689438,Data Scientist / Analyst,Associate,Full-time,Information Technology,Financial Services,"Job Description:Work on Predictive Analytics and Descriptive Analytics to Solve Various Use casesWork on Exploratory Data AnalysisWork on AWS/Azure to solve AI related uses cases.Work on Tableau to Build Dashboards for Various Business Use CasesNeed to be a Good Team Player.Requirements:Education Background – Computer Science/StatisticsHands on coding experience in Python, SQLGood to have hands on experience in TableauShould have developed Predictive Analytics Model in PythonGood in Exploratory Data AnalysisGood to have background in BFSI domain",https://www.linkedin.com/jobs/view/4170689438/
8,4174217264,Data Scientist,Associate,Full-time,Information Technology,IT Services and IT Consulting,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers.  ResponsibilitiesDesign, implement, and update media mix models to find the optimal investment mix across marketing channels.Interpret and translate findings from the MMM into actionable business insights.Design, implement, and update ML/DL/NLP/GenAI Models. Interpret and translate findings from the built models into actionable business insights.Work closely with other data scientists and business intelligence analysts to create deep dive analyses to address questions from stakeholders.Support regular share-outs by creating visualizations and delivering presentations as needed.Continuously monitor model performance in production via automation and iterate to maintain relevance.Experiment with novel methods to improve MMM accuracy and interpretability.Validate models through back-testing and evaluation of observed data.Deliver data insights at the appropriate level of detail and perform fast follow-up to feedback.QualificationsBachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)You Have: 3 to 5 years experience in Data Science and ML Engineering.MS or Ph.D in Statistics/Data Science/Computer Science or related disciplines with specialization in machine learning techniques.Knowledge of both supervised and unsupervised machine learning techniques.Have full stack experience in data collection, aggregation, analysis, visualization, productionalization, and monitoring of data science products.The ability to write robust code in Python and leverage associated machine learning packages.Strong in Python coding.Experience using Jupyter Notebooks.Working experience on one of the cloud platforms Azure/AWS/GCP.Familiarity with a variety of statistical models and methods (i.e., causal methods, tree-based algorithms, time series analysis, regression analysis).Communicate concisely and persuasively with engineers and product managers.Strong detail orientation with a penchant for data accuracy.Familiar with version control systems (Git, BitBucket).Must successfully pass a background check.You might also have:Digital marketing experience.Experience using project management tools like those from Atlassian (JIRA, Confluence).Can wrangle data using SQL and Pandas.",https://www.linkedin.com/jobs/view/4174217264/
9,4184908383,"Data Scientist, Product, Insights and Analytics",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet","Minimum qualifications:Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience with analysis applications (extracting insights, performing statistical analysis, or solving business problems), and coding (Python, R, SQL) (or 2 years work experience plus a Master's degree).Preferred qualifications:Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field.5 years of work experience with analysis applications (extracting insights, performing statistical analysis, or solving business problems), and coding (Python, R, SQL).About The JobHelp serve Google's worldwide user base of more than a billion people. Data Scientists provide quantitative support, market understanding and a strategic perspective to our partners throughout the organization. As a data-loving member of the team, you serve as an analytics expert for your partners, using numbers to help them make better decisions. You will weave stories with meaningful insight from data. You'll make critical recommendations for your fellow Googlers in Engineering and Product Management. You relish tallying up the numbers one minute and communicating your findings to a team leader the next.ResponsibilitiesStructure high-level business questions into data-focused investigative hypotheses.Write queries and perform analysis to answer business questions (SQL, R, Python).Develop and automate reports, iteratively build dashboards to provide insights at scale, solving for business priorities.Apply Large Language Model (LLM) and other Machine Learning (ML) models to analyze structured and unstructured data (eg. for natural language processing).Protect the team against overreaching statistical conclusions (e.g., sampling, correlation/causation).Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form .",https://www.linkedin.com/jobs/view/4184908383/
