Job_ID,Role,Seniority,Emp_Type,Job function,Industries,Job_Des,Link
4187990604,Business Analyst,Mid-Senior level,Full-time,Consulting,Business Consulting and Services and IT Services and IT Consulting,"Responsibilities:Invoice Data Onboarding & Dealer Interaction:Develop and maintain strong relationships with automotive dealerships.Analyze current invoice data collection processes within the dealer network.Design and implement a streamlined process for onboarding dealers and integrating their invoice data into the system.Clearly communicate invoice data submission requirements and address dealer concerns.Create key performance indicators (KPIs) and reports to analyze invoice trends, pricing structures, and identify areas for improvement within automotive operations.Collaborate with finance, sales, and service teams to understand reporting needs and develop customized reports.Data Analysis & Communication:Analyze invoice data to gain insights into customer behavior, purchasing trends, and overall automotive market dynamics.Develop reports and dashboards to communicate data-driven insights to stakeholders across the organization.Present findings and recommendations to leadership to inform strategic decision-making.Skills & Qualifications:4+ years of experience as a Business Analyst or similar role, preferably within the automotive industry.Strong understanding of business process analysis, data analysis methodologies, and data management principles.Experience working with cross-functional teams in a fast-paced environment.Excellent communication and interpersonal skills, with the ability to translate technical concepts for diverse audiences.Understanding of data warehousing and dimensional modeling concepts is highly desirable.Experience working with dealers or other external partners is a plus.Bonus Points:Experience with data visualization tools (e.g., Power BI, Tableau)Experience with data quality management best practices.Knowledge of automotive industry data standards or formats (e.g., OpenAL).",https://www.linkedin.com/jobs/view/4187990604/
4184557774,Business Analyst,Associate,Full-time,"Finance, Other, and Management","Banking, Investment Banking, and Financial Services","Skill - Business Analyst / Data Analyst Location - Bangalore / Chennai Years of Experience - 5+ years Participate in S166 audit (through activities listed below) and support in preparing management responses to auditors’ queriesUnderstand & review the data requirements of downstream processes to minimize data adjustments and optimize use of resourcesIdentify, analyse, and validate relevant optimal data sources for critical data elements ensuring availability of high-quality dataIdentify new CDEs (critical data elements) and drive discussions pertaining to ownership and business process for new data elementsApply the data management best practices and data governance principles to source data in a right manner with appropriately defined controls and governance including data handshakesWork with upstream data owners, systems, and technology partners to define the delivery mechanism to meet data requirements (in terms of completeness, reliability, suitability, and accuracy) both tactically (mid-term) and strategically (long-term)Work with business stakeholders and delivery partners to identify data gaps / data quality issues leading to manual interventions, quantify business impact, and perform root cause analysis.Influence senior stakeholders to support change management activities required for successful implementation of data solutions and data remediation programsEscalate formally problematic DQ issues with the upstream to ensure adequate management oversight and remediation.For upstream driven changes, understand the changing data landscape with the upstream and understand transition paths",https://www.linkedin.com/jobs/view/4184557774/
4184564033,Business Analyst,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Business Consulting and Services,"Skill - Accounting BA Location - Mumbai Years of experience - 3+ Years Responsibilities:• CA or MBA or IT background with a prior experience of managing system migration mainly supporting finance function.• Understanding the existing IT and finance infrastructure and processes.• Document the existing processes and architecture both from IT and business standpoint.• Co-ordinate with both business users and IT. Understand the requirement if any and existing process from business and document the business requirement which IT can understand from development perspective.• Good in communication and co-ordination skillsets.• Experience on applications like confluence, PeopleSoft. Added advantage if has experience on alteryx, powerBI etc.• Ability to work with high degree of accuracy with logical and structured approach• Ability to self-review, identify issues and investigate / escalate appropriately• Ability to embrace new technology and adapt to changing business processes• Ability to communicate effectively with colleagues and build relationships within the department and across functions.Mandatory skill sets:Business Analyst, Documentation (BRD/FRD/RTM), Agile, Accounting, Banking/Capital Market ProductsPreferred skill sets:Alteryx, Power BI, SQL, Data Management (Data Governance, BCBS239, Data Lineage)",https://www.linkedin.com/jobs/view/4184564033/
4187767842,Business Analyst,Associate,Full-time,"Finance, Other, and Management","Banking, Investment Banking, and Financial Services","Skill - Business Analyst / Data AnalystLocation - Bangalore / ChennaiYears of Experience - 5+ yearsParticipate in S166 audit (through activities listed below) and support in preparing management responses to auditors’ queriesUnderstand & review the data requirements of downstream processes to minimize data adjustments and optimize use of resourcesIdentify, analyse, and validate relevant optimal data sources for critical data elements ensuring availability of high-quality dataIdentify new CDEs (critical data elements) and drive discussions pertaining to ownership and business process for new data elementsApply the data management best practices and data governance principles to source data in a right manner with appropriately defined controls and governance including data handshakesWork with upstream data owners, systems, and technology partners to define the delivery mechanism to meet data requirements (in terms of completeness, reliability, suitability, and accuracy) both tactically (mid-term) and strategically (long-term)Work with business stakeholders and delivery partners to identify data gaps / data quality issues leading to manual interventions, quantify business impact, and perform root cause analysis.Influence senior stakeholders to support change management activities required for successful implementation of data solutions and data remediation programsEscalate formally problematic DQ issues with the upstream to ensure adequate management oversight and remediation.For upstream driven changes, understand the changing data landscape with the upstream and understand transition paths",https://www.linkedin.com/jobs/view/4187767842/
4188844591,N/A,N/A,N/A,N/A,N/A,N/A,https://www.linkedin.com/jobs/view/4188844591/
4185216126,Business Analyst- Wholesale Credit Lending,Mid-Senior level,Full-time,Consulting,Business Consulting and Services,"What impact will you make?Every day, your work will make an impact that matters, while you thrive in a dynamic culture of inclusion, collaboration and high performance. As the undisputed leader in professional services, Deloitte is where you’ll find unrivaled opportunities to succeed and realize your full potential.Deloitte is where you’ll find unrivaled opportunities to succeed and realize your fullpotential. The TeamDiscover the various Financial Risk services, we offer to help organizations across the full life cycle of financial transaction. From governance and processes to technology and reporting, our services can enhance transparency, efficiency, compliance, and financial integrity.Work you’ll doAs Deputy Manager in our team, you’ll build and nurture positive working relationships.with teams and clients with the intention to exceed client expectations:We are seeking experienced professionals with transformation expertise in Wholesale Credit Lending to join our team in various roles, including Business Analyst (BA), Project Manager (PM), Data Specialist, and Data Modelers. The ideal candidates will have a strong background in wholesale banking especially in the credit lending,  Key Responsibilities: Business Analyst (BA): Analyze and document business requirements related to wholesale credit lending. Collaborate with stakeholders to deliver data-driven insights and solutions. Assist in the functional requirements and support project implementation. Project Manager (PM): Lead and manage end-to-end project delivery for wholesale credit lending initiatives. Ensure compliance with regulatory frameworks like Basel, focusing on risk and credit management. Coordinate cross-functional teams and manage timelines, resources, and budgets. Data Specialist: Design, implement, and manage data systems for wholesale credit lending processes. Ensure data integrity and support compliance with regulatory standards. Provide data-driven solutions to optimize credit decision-making and lending processes. Data Modelers: Develop and maintain data models for wholesale credit lending portfolios. Work closely with business and technical teams to ensure accurate and actionable data. Implement robust data validation and verification procedures to ensure the integrity of data used in credit lending processes. Your role as a leaderAt Deloitte India, we believe in the importance of leadership at all levels. We expect our people to embrace and live our purpose by challenging themselves to identify issues that are most important for our clients, our people, and for society and make an impact that matters.In addition to living our purpose, Assistant Manager across our organization:• Builds own understanding of our purpose and values; explores opportunities for impact•Demonstrates strong commitment to personal learning and development; acts as a brandambassador to help attract top talent• Understands expectations and demonstrates personal accountability for keeping performance on track• Actively focuses on developing effective communication and relationship-building skills• Understands how their daily work contributes to the priorities of the team and the businessHow you’ll growAt Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help build world-class skills in addition to hands-on experience in the global, fast-changingbusiness world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Centre.",https://www.linkedin.com/jobs/view/4185216126/
4188954992,Financial Reporting Analyst,Associate,Full-time,"Consulting, Finance, and Accounting/Auditing","Business Consulting and Services, Financial Services, and Investment Banking","About KPMG in IndiaKPMG entities in India are professional services firm(s). These Indian member firms are affiliated with KPMG International Limited. KPMG was established in India in August 1993. Our professionals leverage the global network of firms, and are conversant with local laws, regulations, markets and competition. KPMG has offices across India in Ahmedabad, Bengaluru, Chandigarh, Chennai, Gurugram, Jaipur, Hyderabad, Jaipur, Kochi, Kolkata, Mumbai, Noida, Pune, Vadodara and Vijayawada.KPMG entities in India offer services to national and international clients in India across sectors. We strive to provide rapid, performance-based, industry-focused and technology-enabled services, which reflect a shared knowledge of global and local industries and our experience of the Indian business environment.Why Choose KPMG India?Dynamic Work Environment: Be a part of an innovative team that values creativity and fresh ideas. 👨‍💼Growth Opportunities: We provide excellent training, mentorship, and career advancement.📈Attractive Benefits: Competitive salaries, health insurance, and more!🎖️KPMG is hiring individuals for projects with Multinational Investment Banks.>> ROLE & RESPONSIBILITIESThe role is in the Financial Control department of FRM, taking responsibility for running projects which underpin the Reporting for the European group. It will include working with colleagues in Mumbai. This will cover both current reporting processes and the supporting the automation of these where possible.Basic knowledge on month end closing process for any Legal entity, financial instruments reporting and disclosure as per US GAAP / IFRS.Basic working knowledge on month end reporting to SEC / CFTC returnsLiaising with the entity Controllers to provide an understanding of financial reporting and month end closing process.Needs to understand the Business, Structure and Regulatory Reporting requirements of the Legal Entities assigned.Need to understand control and governance requirement from regulatory / financial reporting perspectiveKey objectives critical to success:Ability to work to high degree of accuracy with logical and structured approachAbility to self-review, identify issues and investigate / escalate appropriatelyAbility communicate effectively with colleagues and build relationships within the department and across functionsSkills, experience, qualifications and knowledge requiredShould have strong analytical skills to be able to understand business & structure of the Legal Entities assigned to produce variance analysis for movements.Strong MS-Office Skills, Excellent Analytical and USGAAP Knowledge.Self starter, problem solver and ability to work with minimal supervision.Excel system skills and ability to learn Nomura specific systemsChartered Accountant (CA, ACCA, ACA or equivalent)Experience of process, design and implementationStrong communication skills (written and verbal) and control minded focusOrganised and methodical with attention to detailWell-developed PowerPoint and Excel skills. Additional knowledge of data transformation/visualisation tools also useful (e.g. Tableau/Alteryx)Investment banking product knowledgeThe opportunity is now! If you are interested in being part of a dynamic team, serving clients and reaching your full potential – KPMG Advisory Services is for you!",https://www.linkedin.com/jobs/view/4188954992/
4186288366,Business Analyst,Executive,Full-time,Consulting,IT Services and IT Consulting,"Job DescriptionPre Concept Discussion & process validation.Work with the product, process, policy, profit managers on a variety of operational processes, and support and conductBusiness Requirements Documentation / Review BRD’sReview requirements from Technical aspects Liaise with vendor to neutralize the visible system impacts due to the changeDiscussions with vendors for UD preparationDiscussions with vendors for FSD finalisationFPN Preparation and follow upCompilation of project documentation for SOX complianceFollow up with Vendor for timely release.Test scenarios and Test cases preparationsUAT test case finalization, data preparationUAT Test case execution / Sign-offsError Tracking and Follow up with vendor for timely resolution of the errors.Liaison with DBA/OS support team and other technical team for resolution of errors.Project review meeting Updating PMS / Project tracker / JIRA to keep all stake holders informed of the project status.Liaise with vendor for movement of the enhancement to production.Co-coordinating with CCB member for CCF Approvals.Preparation of application release process note for clean rolloutPost production support as per agreed timeline with business / ops.Ensuring backup of the area which is important for project.Follow up with different departments for sign off the project.Post production review. Document system functionalities to incorporate in the process notesInformation Security group discussion and closures of queries raised",https://www.linkedin.com/jobs/view/4186288366/
4183485221,Business Analyst,Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,"Primary skills:Domain->Communication Equipment->Communication Equipment->UAV,Domain->Retail->Vendor Managed Inventory->Food & BeveragesA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of more than one technology Basics of Architecture and Design fundamentals Knowledge of Testing tools Knowledge of agile methodologies Understanding of Project life cycle activities on development and maintenance projects Understanding of one or more Estimation methodologies, Knowledge of Quality processes Basics of business domain to understand the business requirements Analytical abilities, Strong Technical Skills, Good communication skills Good understanding of the technology and domain Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods Awareness of latest technologies and trends Excellent problem solving, analytical and debugging skills",https://www.linkedin.com/jobs/view/4183485221/
4186287381,Business Analyst,Mid-Senior level,Full-time,Consulting,IT Services and IT Consulting,"Business Analyst (Backbase) – Experience – 6 to 8 years Mandatory Skills: Banking – Online/Mobile Banking and Digital ChannelsShould have advanced experience on Omni Channel Solution knowledge at a Retail and/or Corporate Banking environment with relevant industry/functional knowledgeShould have worked in various Omni-channel platforms like Mobile Banking, CRM, Mobile Internet , Payments, Payment Innovation/New Channels, ATM and Kiosk solution among othersShould have experience of working in medium to large scale Digital Transformation programsShould have basic understanding Agile philosophyShould have basic understanding of Design PrinciplesShould have basic understanding of Digital Banking Architecture and associated technologies Understanding of banking platforms and technical architecturesFamiliar with designing customer-journey-driven architecturesInitial project planning - defining goals and objectives, scope, business rationale, high level requirementsPerform analysis to understand current functionality gaps and obtain user perceptionsCoordinate and lead meetings with SME's and key stakeholders to gather requirements/user stories.",https://www.linkedin.com/jobs/view/4186287381/
